Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_City,Product_ID,Product_Name,Category,Unit_Price,Quantity,Total_Sales
1096,27-07-2023,C01,Alice Smith,New York,P04,ergonomic chair,Furniture,250,1,250
1166,27-10-2023,C01,Alice Smith,New York,P03,Desk Lamp,Office Supplies,35,5,175
1139,20-07-2023,C05,Evan Davis   ,Phoenix,P04,Ergonomic Chair,Furniture,,3,
1177,20-Feb-23,C03,Charlie Brown,Chicago,P03,Desk Lamp,Office Supplies,35,4,140
1016,07-04-2023,C05,Evan Davis,Phoenix,P02,Mechanical Keyboard,Electronics,75,5,375
1112,27-08-2023,C04,Diana Prince,Houston,P01,Wireless Mouse,Electronics,25,-3,-75
1169,18-05-2023,C02,Bob Johnson   ,Los Angeles,P01,Wireless Mouse,Electronics,25,4,100
1074,,C04,Diana Prince   ,Houston,P01,Wireless Mouse,Electronics,25,5,125
1129,08-12-2023,C03,Charlie Brown,Chicago,P04,Ergonomic Chair,Furniture,,3,
1140,08-07-2023,C05,Evan Davis,Phoenix,P04,Ergonomic Chair,Furniture,250,4,1000
1159,18-11-2023,C04,Diana Prince,Houston,P02,mechanical keyboard,Electronics,75,3,225
1031,23-10-2023,C01,Alice Smith,New York,P01,Wireless Mouse,Electronics,,4,
1187,10-05-2023,C02,Bob Johnson,Los Angeles,P01,Wireless Mouse,Electronics,25,4,100
1010,10-03-2023,C03,Charlie Brown,Chicago,P04,ergonomic chair,Furniture,250,1,250
1068,07-03-2023,C02,Bob Johnson,Los Angeles,P04,Ergonomic Chair,Furniture,250,1,250
1176,15-12-2023,C05,Evan Davis,Phoenix,P01,Wireless Mouse,Electronics,25,1,25
1172,19-06-2023,C03,Charlie Brown,Chicago,P04,Ergonomic Chair,Furniture,250,5,1250
1019,11-09-2023,C02,Bob Johnson,Los Angeles,P03,Desk Lamp,Office Supplies,,2,
1154,08-Nov-23,C03,Charlie Brown,Chicago,P01,Wireless Mouse,Electronics,25,-3,-75
1067,01-07-2023,C02,Bob Johnson,Los Angeles,P02,Mechanical Keyboard,Electronics,,1,
1186,04-02-2023,C05,Evan Davis,Phoenix,P04,Ergonomic Chair,Furniture,250,1,250
1143,07-02-2023,C01,Alice Smith,New York,P01,Wireless Mouse,Electronics,25,4,100
1080,23-01-2023,C02,Bob Johnson,Los Angeles,P01,wireless mouse,Electronics,25,2,50
1026,27-Oct-23,C02,Bob Johnson,Los Angeles,P03,Desk Lamp,Office Supplies,35,2,70
1105,30-07-2023,C04,Diana Prince,Houston,P04,Ergonomic Chair,Furniture,250,3,750
1146,29-05-2023,C01,Alice Smith,New York,P01,Wireless Mouse,Electronics,25,5,125
1190,03-08-2023,C01,Alice Smith,New York,P01,Wireless Mouse,Electronics,25,-4,-100
1017,26-02-2023,C04,Diana Prince   ,Houston,P01,Wireless Mouse,Electronics,25,4,100
1046,04-07-2023,C02,Bob Johnson   ,Los Angeles,P03,desk lamp,Office Supplies,35,1,35
1151,01-12-2023,C01,Alice Smith,New York,P02,Mechanical Keyboard,Electronics,75,2,150
1109,21-03-2023,C03,Charlie Brown,Chicago,P01,Wireless Mouse,Electronics,,3,
1056,09-07-2023,C05,Evan Davis,Phoenix,P04,Ergonomic Chair,Furniture,250,3,750
1113,23-Dec-23,C01,Alice Smith,New yorK ,P02,Mechanical Keyboard,Electronics,75,2,150
1192,02-12-2023,C05,Evan Davis,Phoenix,P03,Desk Lamp,Office Supplies,35,5,175
1125,07-12-2023,C04,Diana Prince   ,Houston,P01,Wireless Mouse,Electronics,25,4,100
1129,08-12-2023,C03,Charlie Brown,Chicago,P04,Ergonomic Chair,Furniture,,3,
1076,15-03-2023,C01,Alice Smith,New York,P03,Desk Lamp,Office Supplies,35,5,175
1136,23-09-2023,C02,Bob Johnson,Los Angeles,P01,Wireless Mouse,Electronics,25,-3,-75
1119,07-08-2023,C05,Evan Davis   ,Phoenix,P02,Mechanical Keyboard,Electronics,,5,
1099,21-05-2023,C05,Evan Davis,Phoenix,P03,Desk Lamp,Office Supplies,35,1,35
1097,,C04,Diana Prince,Houston,P03,Desk Lamp,Office Supplies,35,2,70
1184,13-06-2023,C04,Diana Prince,Houston,P04,Ergonomic Chair,Furniture,250,2,500
1118,28-11-2023,C03,Charlie Brown,Chicago,P03,Desk Lamp,Office Supplies,35,2,70
,30-03-2023,C04,Diana Prince,Houston,P04,Ergonomic Chair,Furniture,250,4,1000
1085,26-01-2023,C01,Alice Smith,New York,P03,desk lamp,Office Supplies,35,2,70
1096,27-07-2023,C01,Alice Smith,New York,P04,ergonomic chair,Furniture,250,1,250
1138,18-10-2023,C04,Diana Prince,Houston,P02,Mechanical Keyboard,Electronics,75,4,300
1067,01-07-2023,C02,Bob Johnson,Los Angeles,P02,Mechanical Keyboard,Electronics,,1,
1087,04-04-2023,C04,Diana Prince,Houston,P01,Wireless Mouse,Electronics,25,4,100
1163,23-08-2023,C02,Bob Johnson,Los Angeles,P01,Wireless Mouse,Electronics,25,2,50
1153,04-07-2023,C03,Charlie Brown,Chicago,P03,Desk Lamp,Office Supplies,,2,
1039,18-07-2023,C03,Charlie Brown   ,Chicago,P04,Ergonomic Chair,Furniture,250,1,250
1025,15-Jul-23,C01,Alice Smith   ,New York,P02,Mechanical Keyboard,Electronics,75,5,375
1166,27-10-2023,C01,Alice Smith,New York,P03,Desk Lamp,Office Supplies,35,5,175
1121,14-12-2023,C03,Charlie Brown   ,Chicago,P02,Mechanical Keyboard,Electronics,75,1,75
1030,22-09-2023,C02,Bob Johnson,Los Angeles,P02,Mechanical Keyboard,Electronics,75,1,75
1020,06-12-2023,C05,Evan Davis   ,Phoenix,P03,Desk Lamp,Office Supplies,35,4,140
1070,04-07-2023,C02,Bob Johnson   ,Los Angeles,P03,Desk Lamp,Office Supplies,35,4,140
1098,01-04-2023,C05,Evan Davis,Phoenix,P03,Desk Lamp,Office Supplies,35,3,105
1061,21-05-2023,C03,Charlie Brown,Chicago,P03,Desk Lamp,Office Supplies,35,4,140
1069,17-10-2023,C04,Diana Prince,Houston,P02,Mechanical Keyboard,Electronics,75,4,300
